"cat_code","age","Female","Male","Diff","ucd"
"A04","45-54",-1.20240792618512,-1.27005029841627,-0.0676423722311497,"Other bacterial intestinal infections"
"A04","55-64",0.0579019961288641,0.0932873779226535,0.0353853817937894,"Other bacterial intestinal infections"
"A04","65-74",1.36596575957941,1.31529244666499,-0.0506733129144177,"Other bacterial intestinal infections"
"A04","75-84",2.619958370014,2.61056189784178,-0.00939647217222372,"Other bacterial intestinal infections"
"A04","85+",3.71702378058297,3.71201231519425,-0.00501146538872543,"Other bacterial intestinal infections"
"A09","45-54",-2.0467559319259,-2.06801436863533,-0.0212584367094282,"Infectious gastroenteritis and colitis, unspecified"
"A09","55-64",-0.977572475130084,-1.08432404931829,-0.106751574188201,"Infectious gastroenteritis and colitis, unspecified"
"A09","65-74",-0.00454295409818855,-0.182077773693735,-0.177534819595547,"Infectious gastroenteritis and colitis, unspecified"
"A09","75-84",1.05335346461806,0.878825281799371,-0.174528182818692,"Infectious gastroenteritis and colitis, unspecified"
"A09","85+",2.24531227916754,2.07982861352853,-0.165483665639013,"Infectious gastroenteritis and colitis, unspecified"
"A16","45-54",-2.90383804302936,-1.66617902857774,1.23765901445162,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A16","55-64",-2.31882978294237,-1.13919196770879,1.17963781523358,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A16","65-74",-1.47834714345882,-0.589984885457452,0.888362258001365,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A16","75-84",-0.380796917679462,0.210044082172848,0.59084099985231,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A16","85+",0.191717653380576,0.972696934433367,0.78097928105279,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
"A40","45-54",-2.10695109270932,-1.92322413156764,0.183726961141689,"Streptococcal sepsis"
"A40","55-64",-1.65734388428889,-1.50990539321467,0.147438491074224,"Streptococcal sepsis"
"A40","65-74",-1.05313527241582,-0.884481758714213,0.168653513701605,"Streptococcal sepsis"
"A40","75-84",-0.31442184873459,-0.0817730754267363,0.232648773307854,"Streptococcal sepsis"
"A40","85+",0.38465941619447,0.772140309581046,0.387480893386576,"Streptococcal sepsis"
"A41","45-54",1.57156462394282,1.7475456188128,0.175980994869982,"Other sepsis"
"A41","55-64",2.46386274747706,2.66328391307559,0.199421165598531,"Other sepsis"
"A41","65-74",3.32942194772968,3.51667151217894,0.187249564449263,"Other sepsis"
"A41","75-84",4.249065880899,4.44575406895997,0.196688188060969,"Other sepsis"
"A41","85+",5.16263120401522,5.32740301986116,0.16477181584594,"Other sepsis"
"A48","45-54",-3.1714793645977,-2.67777994025622,0.493699424341473,"Other bacterial diseases, not elsewhere classified"
"A48","55-64",-2.59127175764915,-2.00486107207389,0.586410685575261,"Other bacterial diseases, not elsewhere classified"
"A48","65-74",-2.11016607851144,-1.51610370626787,0.59406237224357,"Other bacterial diseases, not elsewhere classified"
"A48","75-84",-1.56593455659616,-0.945160391806432,0.620774164789732,"Other bacterial diseases, not elsewhere classified"
"A48","85+",-1.19566307395154,-0.399326032581191,0.796337041370344,"Other bacterial diseases, not elsewhere classified"
"A49","45-54",-1.75009368366654,-1.34277887352388,0.407314810142652,"Bacterial infection of unspecified site"
"A49","55-64",-0.903160813142576,-0.487631771304419,0.415529041838157,"Bacterial infection of unspecified site"
"A49","65-74",-0.137962483643004,0.287587044774577,0.425549528417581,"Bacterial infection of unspecified site"
"A49","75-84",0.81215278807035,1.27057210476358,0.458419316693226,"Bacterial infection of unspecified site"
"A49","85+",1.694467108874,2.20919457317399,0.514727464299984,"Bacterial infection of unspecified site"
"B17","45-54",-0.583595990507147,0.510911553434661,1.09450754394181,"Other acute viral hepatitis"
"B17","55-64",-0.818070139171735,-0.147566238296262,0.670503900875473,"Other acute viral hepatitis"
"B17","65-74",-0.365028707401012,-0.318322872189854,0.0467058352111575,"Other acute viral hepatitis"
"B17","75-84",-0.157296923659643,-0.0464912612820965,0.110805662377547,"Other acute viral hepatitis"
"B17","85+",-0.542432500797033,-0.273924766039919,0.268507734757114,"Other acute viral hepatitis"
"B18","45-54",0.610181822967205,1.49331988061337,0.883138057646163,"Chronic viral hepatitis"
"B18","55-64",1.16777425613441,2.12069347955541,0.952919223420999,"Chronic viral hepatitis"
"B18","65-74",0.858185084217573,1.42920126126185,0.571016177044276,"Chronic viral hepatitis"
"B18","75-84",0.887129343619251,0.917530873413248,0.0304015297939977,"Chronic viral hepatitis"
"B18","85+",0.595371494918571,0.68295936279949,0.0875878678809185,"Chronic viral hepatitis"
"B34","45-54",-3.13511172042682,-2.90929174124095,0.225819979185871,"Viral infection of unspecified site"
"B34","55-64",-2.38318765192517,-2.2939625911799,0.0892250607452754,"Viral infection of unspecified site"
"B34","65-74",-1.67409172058491,-1.45040844700247,0.223683273582438,"Viral infection of unspecified site"
"B34","75-84",-0.613567768248199,-0.590452446644186,0.0231153216040136,"Viral infection of unspecified site"
"B34","85+",0.890818843410629,0.822303731272915,-0.0685151121377146,"Viral infection of unspecified site"
