"cat_code","age","sex","logMR","ch_grp","subch_grp","cat_range","ucd"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","45-54","Female",-1.20240792618512,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","55-64","Female",0.0579019961288641,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","65-74","Female",1.36596575957941,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","75-84","Female",2.619958370014,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","85+","Female",3.71702378058297,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","65-74","Male",1.31529244666499,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Campylobacter enteritis"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Other intestinal Escherichia coli infections"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Enterocolitis due to Clostridium difficile"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Enteritis due to Yersinia enterocolitica"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Enteropathogenic Escherichia coli infection"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Enterohaemorrhagic Escherichia coli infection"
"A04","75-84","Male",2.61056189784178,"A00-B99","A00-A09","A00-A09","Enteroinvasive Escherichia coli infection"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Other specified bacterial intestinal infections"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Bacterial intestinal infection, unspecified"
"A04","85+","Male",3.71201231519425,"A00-B99","A00-A09","A00-A09","Enterotoxigenic Escherichia coli infection"
